Ссылка на авто;Название авто;Год выпуска;Пробег;Кузов;Цвет;Двигатель;Коробка;Привод;Состояние;Цена в российских рублях;Цена в белорусских рублях;Цена в долларах
https://auto.ru/cars/new/group/mercedes/gle_klasse_coupe_amg/22103875/22103969/1116193245-5ac7478a/;Предложение от дилера;information not found;information not found;information not found;information not found;information not found;information not found;information not found;information not found;16,900,000;693,191;271,224
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115604186-731e71ef/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2021;4 000 км;внедорожник 5 дв.;синий;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;17,330,000;710,828;278,125
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116396415-77e3df79/;Mercedes-Benz GLE Coupe AMG 63 AMG II (C167);2021;1 000 км;внедорожник 5 дв.;синий;4.0 л / 571 л.с. / Бензин;автоматическая;полный;Не требует ремонта;17,340,000;711,238;278,285
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115772552-677aa2f0/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2020;5 000 км;внедорожник 5 дв.;чёрный;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;17,340,000;711,238;278,285
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1114930885-5d8cf523/;Mercedes-Benz GLE Coupe AMG 53 AMG II (C167);2021;1 000 км;внедорожник 5 дв.;белый;3.0 л / 435 л.с. / Бензин;автоматическая;полный;Не требует ремонта;17,370,000;712,469;278,767
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115255455-a34365d3/;Mercedes-Benz GLE Coupe AMG 53 AMG II (C167);2021;11 000 км;внедорожник 5 дв.;красный;3.0 л / 435 л.с. / Бензин;автоматическая;полный;Не требует ремонта;17,440,000;715,340;279,890
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116314460-4603f88b/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2020;8 000 км;внедорожник 5 дв.;белый;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;17,600,000;721,903;282,458
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116764751-a5ae08c6/;Mercedes-Benz GLE Coupe AMG 53 AMG II (C167);2021;1 000 км;внедорожник 5 дв.;серый;3.0 л / 435 л.с. / Бензин;автоматическая;полный;Не требует ремонта;17,680,000;725,184;283,742
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116712165-76899ed6/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2021;6 000 км;внедорожник 5 дв.;чёрный;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;18,060,000;740,771;289,841
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116445147-0c3adc4b/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2021;6 000 км;внедорожник 5 дв.;чёрный;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;18,220,000;747,333;292,408
